ACCURACY of the 1th score: 0.1938707528314457
PRECISION of the 1th score: 0.25
RECALL of the 1th score: 0.048467688207861424
F-MEASURE of the 1th score: 0.08119419642857144
ACCURACY of the 2th score: 0.12494039103481164
PRECISION of the 2th score: 0.25
RECALL of the 2th score: 0.03123509775870291
F-MEASURE of the 2th score: 0.055532005086901225
ACCURACY of the 3th score: 0.0
PRECISION of the 3th score: 0.0
RECALL of the 3th score: 0.0
F-MEASURE of the 3th score: 0.0
ACCURACY of the 4th score: 0.4327001356852103
PRECISION of the 4th score: 0.25
RECALL of the 4th score: 0.10817503392130258
F-MEASURE of the 4th score: 0.15100861824036368
ACCURACY of the 5th score: 0.800458423532408
PRECISION of the 5th score: 0.3333333333333333
RECALL of the 5th score: 0.2668194745108027
F-MEASURE of the 5th score: 0.29639059810924867
