ACCURACY of the 1th score: 0.532987012987013
PRECISION of the 1th score: 0.5
RECALL of the 1th score: 0.2664935064935065
F-MEASURE of the 1th score: 0.34767875296509654
ACCURACY of the 2th score: nan
PRECISION of the 2th score: nan
RECALL of the 2th score: nan
F-MEASURE of the 2th score: nan
ACCURACY of the 3th score: nan
PRECISION of the 3th score: nan
RECALL of the 3th score: nan
F-MEASURE of the 3th score: nan
ACCURACY of the 4th score: nan
PRECISION of the 4th score: nan
RECALL of the 4th score: nan
F-MEASURE of the 4th score: nan
ACCURACY of the 5th score: nan
PRECISION of the 5th score: nan
RECALL of the 5th score: nan
F-MEASURE of the 5th score: nan
ACCURACY of the 1th score: 0.532987012987013
PRECISION of the 1th score: 0.5
RECALL of the 1th score: 0.2664935064935065
F-MEASURE of the 1th score: 0.34767875296509654
ACCURACY of the 2th score: nan
PRECISION of the 2th score: nan
RECALL of the 2th score: nan
F-MEASURE of the 2th score: nan
ACCURACY of the 3th score: nan
PRECISION of the 3th score: nan
RECALL of the 3th score: nan
F-MEASURE of the 3th score: nan
ACCURACY of the 4th score: nan
PRECISION of the 4th score: nan
RECALL of the 4th score: nan
F-MEASURE of the 4th score: nan
ACCURACY of the 5th score: nan
PRECISION of the 5th score: nan
RECALL of the 5th score: nan
F-MEASURE of the 5th score: nan
ACCURACY of the 1th score: 0.23784143904063956
PRECISION of the 1th score: 0.2
RECALL of the 1th score: 0.04756828780812791
F-MEASURE of the 1th score: 0.07685683530678147
ACCURACY of the 2th score: 0.29756795422031473
PRECISION of the 2th score: 0.2
RECALL of the 2th score: 0.05951359084406295
F-MEASURE of the 2th score: 0.09173098125689086
ACCURACY of the 3th score: 0.16209386281588448
PRECISION of the 3th score: 0.2
RECALL of the 3th score: 0.03241877256317689
F-MEASURE of the 3th score: 0.05579372475924199
ACCURACY of the 4th score: 0.5137042062415197
PRECISION of the 4th score: 0.25
RECALL of the 4th score: 0.12842605156037992
F-MEASURE of the 4th score: 0.16968447472212264
ACCURACY of the 5th score: 0.0
PRECISION of the 5th score: 0.0
RECALL of the 5th score: 0.0
F-MEASURE of the 5th score: 0.0
ACCURACY of the 1th score: 0.15056628914057296
PRECISION of the 1th score: 0.2
RECALL of the 1th score: 0.03011325782811459
F-MEASURE of the 1th score: 0.05234510712217718
ACCURACY of the 2th score: 0.06103958035288507
PRECISION of the 2th score: 0.2
RECALL of the 2th score: 0.012207916070577014
F-MEASURE of the 2th score: 0.023011235955056178
ACCURACY of the 3th score: 0.5137184115523465
PRECISION of the 3th score: 0.2
RECALL of the 3th score: 0.1027436823104693
F-MEASURE of the 3th score: 0.13575005962318148
ACCURACY of the 4th score: 0.3299864314789688
PRECISION of the 4th score: 0.2
RECALL of the 4th score: 0.06599728629579375
F-MEASURE of the 4th score: 0.09924505203019791
ACCURACY of the 5th score: 0.00012733987011333248
PRECISION of the 5th score: 0.2
RECALL of the 5th score: 2.5467974022666496e-05
F-MEASURE of the 5th score: 5.092946269416857e-05
