ACCURACY of the 1th score: 0.8374417055296469
PRECISION of the 1th score: 0.2
RECALL of the 1th score: 0.1674883411059294
F-MEASURE of the 1th score: 0.18230601885424222
ACCURACY of the 2th score: 0.619933237958989
PRECISION of the 2th score: 0.2
RECALL of the 2th score: 0.12398664759179781
F-MEASURE of the 2th score: 0.15307624374448042
ACCURACY of the 3th score: 0.612274368231047
PRECISION of the 3th score: 0.2
RECALL of the 3th score: 0.1224548736462094
F-MEASURE of the 3th score: 0.15190326914464847
ACCURACY of the 4th score: 0.6628222523744912
PRECISION of the 4th score: 0.2
RECALL of the 4th score: 0.13256445047489823
F-MEASURE of the 4th score: 0.1594451244390045
ACCURACY of the 5th score: 0.849102253915701
PRECISION of the 5th score: 0.3333333333333333
RECALL of the 5th score: 0.283034084638567
F-MEASURE of the 5th score: 0.3061313499988522
